MajorCommandID,MajorCommandName,MajorCommandCode
ORG-2757,USACE,USACE
ORG-2759,DCMDW,DCMDW
ORG-2762,DCMDNE,DCMDNE
ORG-2768,DDRW,DDRW
ORG-2773,DLA DOCUMENT SVCS,DLA DOCUMENT SVCS
ORG-2774,DLA DISTRIBUTION,DLA DISTRIBUTION
ORG-2775,DLA ENERGY,DLA ENERGY
ORG-2776,DLA STRATEGIC MATERIALS,DLA STRATEGIC MATRLS
ORG-2777,DLA DISPOSITION SERVICES,DLA DISPOSITION SVCS
ORG-2778,DSCC,DSCC
ORG-2779,DSCP,DSCP
ORG-2780,DSCR,DSCR
ORG-2781,TROOP SUPPORT CONSTRUCTION & EQUIPMENT,DLA TRP SUPT C&E
ORG-2783,DLA LAND,DLA LAND
ORG-2784,DLA MARITIME,DLA MARITIME
ORG-2785,TROOP SUPPORT MEDICAL,DLA TRP SUPT MED
ORG-2786,TROOP SUPPORT SUBSISTENCE,DLA TRP SUPT SUB
ORG-2787,DLA AVIATION,DLA AVIATION
ORG-2790,TROOP SUPPORT CLOTHING & TEXTILE,DLA TRP SUPT C&T
ORG-2791,DCSO,DCSO
ORG-2825,AFMC,AFMC
ORG-2834,AFSPC,AFSPC
ORG-2835,ACC,ACC
ORG-2836,PACAF,PACAF
ORG-2837,USAFE,USAFE
ORG-2838,AFRC,AFRC
ORG-2839,USAFA,USAFA
ORG-2840,11CONS,11CONS
ORG-2841,AFOTEC,AFOTEC
ORG-2842,AFSOC,AFSOC
ORG-2843,AETC,AETC
ORG-2844,AMC,AMC
ORG-2845,AFDW,AFDW
ORG-2848,USARPAC,USARPAC
ORG-2849,USARSO,USARSO
ORG-2850,WEST POINT,WEST POINT
ORG-2852,OPTEC,OPTEC
ORG-2854,TRADOC,TRADOC
ORG-2855,US ARMY CONTRACTING COMMAND EUROPE,USACCE
ORG-2856,MDW,MDW
ORG-2858,MTMC,MTMC
ORG-2860,ARCENT,ARCENT
ORG-2861,DSSW,DSSW
ORG-2862,EUSA,EUSA
ORG-2863,FORSCOM,FORSCOM
ORG-2869,NGB,NGB
ORG-2870,SDDC,SDDC
ORG-2871,SMDC,SMDC
ORG-2872,USACE,USACE
ORG-2873,USAMRMC,USAMRMC
ORG-2874,JCCIA,JCCIA
ORG-2875,MEDCOM,MEDCOM
ORG-2876,ACA,ACA
ORG-2877,AMC,AMC
ORG-2878,ATEC,ATEC
ORG-2879,DCCW,DCCW
ORG-2880,INSCOM,INSCOM
ORG-2882,USAMRAA,USAMRAA
ORG-2936,NAVAIR,NAVAIR
ORG-2937,NAVSUP,NAVSUP
ORG-2939,MSC,MSC
ORG-2940,NAVFAC,NAVFAC
ORG-2941,NAVSEA,NAVSEA
ORG-2942,SSP,SSP
ORG-2943,USMC,USMC
ORG-2944,SPAWAR,SPAWAR
ORG-2945,ONR,ONR
ORG-2946,NISMC,NISMC
ORG-3960,PEO STRI ORLANDO,PEO STRI
ORG-4020,US ARMY SERVICES AND OPERATIONS AGENCY,USASOA
ORG-4383,AFGSC,AFGSC
ORG-4404,AFISRA,AFISRA
ORG-4774,C-JTSCC,C-JTSCC
ORG-4894,AF INSTALLATION CONTRACTING AGENCY,AFICA
ORG-4955,"DCMA, HQ, PROCUREMENT CENTER",DCMA-AQP
ORG-5015,JOINT CONTINGENCY ACQUISITION SUPPORT OFFICE,JCASO
ORG-5402,TROOP SUPPORT INDUSTRIAL HARDWARE,DLA TRP SUPT IH
ORG-5802,US ARMY ACQUISITION SUPPORT CENTER,USAASC
NA,NA,NA
