MajorCommandID,MajorCommandCode,ContractingOfficeCode,Contracting.Agency.ID,MajorCommandName,MCC_StartFiscal_Year,MCC_EndFiscal_Year,ContractingOfficeName
ORG-2203,1252,03A94,1252,FOOD SAFETY AND INSPECTION SERVICE,1990,2002,DEPT OF AGRIC/FOOD SAFETY AND INSPECT SVC
ORG-2757,USACE (CIVIL),NULL,96CE,U.S. ARMY CORPS OF ENGINEERS ,1990,2003,NULL
ORG-2759,DCMDW,08LA,97AS,DEFENSE CONTRACT MANAGEMENT DISTRICT WEST,1997,1999,DEF CONTRACT MGMT DISTRICT WEST
ORG-2762,DCMDNE,08BP,97AS,DEFENSE CONTRACT MANAGEMENT DISTRICT NORTHEAST,1997,2001,DEF CONTRACT MGMT DISTRICT NE
ORG-2768,DDRW,5,97AS,DEFENSE DISTRIBUTION REGION WEST,1997,1999,DEFENSE DISTRIBUTION REGION WEST
ORG-2773,DLA DOCUMENT SVCS,NULL,97AS,DLA DOCUMENT SVCS,2005,2014,NULL
ORG-2774,DLA DISTRIBUTION,NULL,97AS,DLA DISTRIBUTION,2005,2014,DLA DISTRIBUTION
ORG-2775,DLA ENERGY,NULL,97AS,DLA ENERGY,2003,2014,NULL
ORG-2776,DLA STRATEGIC MATRLS,NULL,97AS,DLA STRATEGIC MATERIALS,2005,2014,DLA STRATEGIC MATERIALS
ORG-2777,DLA DISPOSITION SVCS,NULL,97AS,DLA DISPOSITION SERVICES,2004,2014,NULL
ORG-2778,DSCC,NULL,97AS,"DEFENSE SUPPLY CENTER, COLUMBUS",2005,2009,NULL
ORG-2779,DSCP,NULL,97AS,"DEFENSE SUPPLY CENTER, PHILADELPHIA",2004,2009,NULL
ORG-2780,DSCR,NULL,97AS,"DEFENSE SUPPLY CENTER, RICHMOND",2005,2010,NULL
ORG-2781,DLA TROOP SUPT C&E,NULL,97AS,DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT,2004,2014,NULL
ORG-2783,DLA LAND,NULL,97AS,DLA LAND,2002,2014,NULL
ORG-2784,DLA MARITIME,NULL,97AS,DLA MARITIME,2005,2014,NULL
ORG-2785,DLA TROOP SUPT MED,NULL,97AS,DLA TROOP SUPPORT MEDICAL,2004,2014,NULL
ORG-2786,DLA TROOP SUPT SUB,NULL,97AS,DLA TROOP SUPT SUB,2005,2014,NULL
ORG-2787,DLA AVIATION,NULL,97AS,DLA AVIATION,2002,2014,NULL
