Customer,SubCustomer,SubCustomer.sum,SubCustomer.detail,SubCustomer.platform,SubCustomer.FMS,SubCustomer.component,Subcustomer.Obsolete
Other Agencies,ELECTION ASSISTANCE COMMISSION,ELECTION ASSISTANCE COMMISSION,ELECTION ASSISTANCE COMMISSION,ELECTION ASSISTANCE COMMISSION,All other Customers,ELECTION ASSISTANCE COMMISSION,FALSE
Other Agencies,EPA,EPA,EPA,EPA,All other Customers,EPA,FALSE
Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,All other Customers,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,FALSE
Other Agencies,Exec Office,Exec Office,Exec Office,Exec Office,All other Customers,Exec Office,FALSE
Other Agencies,FEDERAL ELECTION COMMISSION,FEDERAL ELECTION COMMISSION,FEDERAL ELECTION COMMISSION,FEDERAL ELECTION COMMISSION,All other Customers,FEDERAL ELECTION COMMISSION,FALSE
Other Agencies,FEDERAL HOUSING FINANCE AGENCY,FEDERAL HOUSING FINANCE AGENCY,FEDERAL HOUSING FINANCE AGENCY,FEDERAL HOUSING FINANCE AGENCY,All other Customers,FEDERAL HOUSING FINANCE AGENCY,FALSE
Other Agencies,FEDERAL HOUSING FINANCE BOARD,FEDERAL HOUSING FINANCE BOARD,FEDERAL HOUSING FINANCE BOARD,FEDERAL HOUSING FINANCE BOARD,All other Customers,FEDERAL HOUSING FINANCE BOARD,FALSE
Other Agencies,FEDERAL LABOR RELATIONS AUTHORITY,FEDERAL LABOR RELATIONS AUTHORITY,FEDERAL LABOR RELATIONS AUTHORITY,FEDERAL LABOR RELATIONS AUTHORITY,All other Customers,FEDERAL LABOR RELATIONS AUTHORITY,FALSE
Other Agencies,FEDERAL MARITIME COMMISSION,FEDERAL MARITIME COMMISSION,FEDERAL MARITIME COMMISSION,FEDERAL MARITIME COMMISSION,All other Customers,FEDERAL MARITIME COMMISSION,FALSE
Other Agencies,FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION,All other Customers,FEDERAL TRADE COMMISSION,FALSE
Other Agencies,FEMA,FEMA,FEMA,FEMA,All other Customers,FEMA,TRUE
Other Agencies,GSA,GSA,GSA,GSA,All other Customers,GSA,FALSE
Other Agencies,HUD,HUD,HUD,HUD,All other Customers,HUD,FALSE
Other Agencies,Interior,Interior,Interior,Interior,All other Customers,Interior,FALSE
Other Agencies,INTERNATIONAL TRADE COMMISSION,INTERNATIONAL TRADE COMMISSION,INTERNATIONAL TRADE COMMISSION,INTERNATIONAL TRADE COMMISSION,All other Customers,INTERNATIONAL TRADE COMMISSION,FALSE
