ContingencyHumanitarianPeacekeepingOperation,ContingencyHumanitarianPeacekeepingOperationText,IsOCOcrisisFunding
,NULL,NULL
:,,NULL
A,CONTINGENCY OPERATION AS DEFINED IN 10 U.S.C. 101(A)(13),1
B,HUMANITARIAN OR PEACEKEEPING OPERATION AS DEFINED IN 10 U.S.C. 2302(8),1
C,"PRESIDENTIAL ISSUED EMERGENCY DECLARATION, OR A MAJOR DISASTER DECLARATION",NULL
X,NOT APPLICABLE,NULL
