recoveredmaterialclauses,recoveredmaterialclausesText,FAR_52_223_4,BioBased,EnergyEfficient,EnvironmentallyPreferable
,NULL,NULL,NULL,NULL,NULL
:,,NULL,NULL,NULL,NULL
A,FAR 52.223-4 INCLUDED,1,0,0,0
B,FAR 52.223-4 AND FAR 52.223-9 INCLUDED,1,0,0,0
C,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,0,0,0,0
D,ENERGY EFFICIENT,0,0,1,0
E,BIO-BASED,0,1,0,0
F,ENVIRONMENTALLY PREFERABLE,0,0,0,1
G,FAR 52.223-4 & ENERGY EFFICIENT,1,0,1,0
H,FAR 52.223-4 & BIO-BASED,1,1,0,0
I,FAR 52.223-4 & ENVIRONMENTALLY PREFERABLE,1,0,0,1
J,FAR 52.223-4 & BIO-BASED & ENERGY EFFICIENT,1,1,1,0
K,FAR 52.223-4 & BIO-BASED & ENVIRONMENTALLY PREFERABLE,1,1,0,1
L,FAR 52.223-4 & BIO-BASED & ENERGY EFFICIENT & ENVIRONMENTALLY PREFERABLE,1,1,1,1
M,FAR 52.204-4 & FAR 52.223-1 & FAR 52.223-2 & FAR 52.223-15 & FAR 52.223-16 INCLUDED,1,NULL,NULL,NULL
