freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PD15_EUR,B1GQ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.031 	47.347 	50.456 	59.124 	69.238 	74.176 	74.622 	75.561 	83.950 	89.156 	92.190 	95.806 	100.424 d	95.641 	95.782 	96.226 	98.131 	97.559 d	99.276 	100.000 	101.089 	105.010 	112.035 	117.668 	117.739 p	: 	: 
A,PD15_EUR,B1GQ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76.157 	75.465 	74.268 	74.432 	75.134 	76.158 	77.641 	78.531 	79.558 	80.942 	82.996 	84.566 	86.445 	88.136 	89.801 	90.585 	92.246 	94.141 	95.669 	97.751 	100.000 	101.848 	102.872 	104.763 	106.384 	109.106 	111.226 	116.758 
A,PD15_EUR,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.777 	65.744 	69.037 	70.011 	71.524 	75.951 	81.875 	86.948 	93.328 	93.501 	94.816 	97.122 	97.895 	97.676 	98.653 	100.000 	101.333 	103.136 	106.013 	108.635 	108.703 	113.986 	127.939 
A,PD15_EUR,B1GQ,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76.947 	75.845 	74.092 	75.267 	76.245 	77.781 	79.323 	80.624 	82.116 	83.688 	85.431 	87.366 	89.054 	90.754 	91.238 	92.964 	94.644 	96.500 	97.727 	98.687 	100.000 	101.921 	103.786 	105.395 	107.237 	108.851 p	111.922 p	118.526 p
A,PD15_EUR,B1GQ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.583 	30.634 	36.521 	46.980 	48.869 	52.695 	55.904 	58.026 	59.302 	62.474 	66.509 	71.003 	78.849 	85.239 	88.596 	89.273 	94.730 	95.784 	95.852 	97.138 	100.000 	103.322 	108.292 	112.876 	118.787 	123.845 	132.678 	152.715 p
A,PD15_EUR,B1GQ,CH	: 	: 	: 	: 	: 	25.918 	29.147 	34.452 	37.511 	39.343 	40.058 	43.496 	45.565 	46.555 	46.241 	49.410 	51.780 	51.562 	55.431 	59.855 	63.245 	62.524 	59.346 	60.037 	60.878 	63.390 	66.016 	67.804 	66.160 	65.384 	65.797 	66.161 	64.855 	68.088 	71.905 	78.908 	88.345 	90.404 	88.433 	89.048 	100.000 	97.383 	95.148 	92.281 	95.716 	98.725 	98.793 	109.793 
A,PD15_EUR,B1GQ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.561 	68.286 	70.949 	72.730 	74.468 	77.167 	79.718 	80.036 	83.079 	85.658 	88.149 	91.035 	93.687 	97.680 	97.937 	99.779 	101.391 	103.093 	102.127 	100.760 	100.000 	99.425 	100.456 	101.465 	102.808 	101.564 	104.481 	111.212 p
A,PD15_EUR,B1GQ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.036 	48.733 	50.620 	55.401 	55.794 	58.873 	64.527 	73.308 	71.826 	74.629 	79.990 	84.603 	89.416 	101.524 	98.285 	101.294 	104.132 	103.294 	101.355 	98.093 	100.000 	102.058 	106.172 	111.782 	116.025 	117.444 	125.210 	141.876 
A,PD15_EUR,B1GQ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.163 	72.862 	78.972 	81.089 	84.936 	83.846 	81.728 	82.092 	82.934 	82.528 	83.605 	84.757 	85.877 	86.835 	87.187 	87.533 	89.083 	89.893 	91.549 	92.139 	93.125 	94.518 	96.370 	98.180 	100.000 	101.328 	102.851 	104.916 	107.145 p	109.085 p	112.421 p	118.639 p
A,PD15_EUR,B1GQ,DK	25.120 	28.943 	31.080 	33.073 	34.485 	34.553 	37.789 	40.427 	43.546 	46.059 	48.800 	50.453 	53.194 	54.827 	56.850 	59.761 	60.947 	62.744 	64.900 	66.356 	69.181 	70.274 	70.499 	71.218 	73.039 	75.059 	76.967 	79.003 	80.171 	81.750 	83.992 	85.652 	87.835 	91.401 	92.005 	94.957 	95.521 	97.881 	98.562 	99.621 	100.000 	100.436 	101.716 	102.276 	103.170 	106.030 	109.215 	117.497 
