"hts10","hts_description","USITC.Tier","PlatformPortfolio.USITC","PlatformPortfolio.Ordnance","PlatformPortfolio","PlatformPortfolio2","PlatformPortfolio3","ArmsDual","ClassificationJustification","Total","MinOfYear","MaxOfYear","Invalid","end_use","minyear","maxyear","mincid","maxcid","sitc","end_use_import","end_use_export","ag_code","sic","naics","hitech","flow","ATP"
"9305.21.0000","SHOTGUN BARRELS OF HEADING 9303","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,35869072,1989,2011,NA,"41120",1989,2011,1994-07-01,2014-06-01,"89193",NA,"41120","1","3484","332994","00","Export",NA
"9305.21.4000","PARTS AND ACCESSORIES FOR SHOTGUN BARRELS OF MUZZLE-LOADING SHOTGUNS OF HEADING 9303","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms","hts decription",NA,1989,2011,NA,"41120",1989,2011,1993-07-01,2014-06-01,"89193","41120",NA,"1","3484","332994","00","Import",NA
"9305.21.8000","PARTS AND ACCESSORIES FOR SHOTGUN BARRELS OF HEADING 9303, NESOI","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms","hts decription",NA,1989,2011,NA,"41120",1989,2011,1993-07-01,2014-06-01,"89193","41120",NA,"1","3484","332994","00","Import",NA
"9305.29.0000","PARTS AND ACCESSORIES OF SHOTGUNS OR RIFLES OR HEADING 9303 EXCEPT SHOTGUN BARRELS","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,546880211,1989,2011,NA,"41120",1989,2011,1994-07-01,2014-06-01,"89195",NA,"41120","1","3484","332994","00","Export",NA
"9305.29.0500","PARTS AND ACCESSORIES OF MUZZLE-LOADING SHOTGUNS OR RIFLES","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms","hts decription",NA,1989,2011,NA,"41120",1989,2011,1993-07-01,2014-06-01,"89195","41120",NA,"1","3484","332994","00","Import",NA
"9305.29.1000","PARTS AND ACCESSORIES OF SHOTGUNS STOCKS","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms","hts decription",NA,1989,2011,NA,"41120",1989,2011,1993-07-01,2014-06-01,"89195","41120",NA,"1","3484","332994","00","Import",NA
"9305.29.2000","PARTS AND ACCESSORIES OF SHOTGUNS, NESOI","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms","hts decription",NA,1989,2011,NA,"41120",1989,2011,1993-07-01,2014-06-01,"89195","41120",NA,"1","3484","332994","00","Import",NA
"9305.29.4000","PARTS AND ACCESSORIES OF RIFLE STOCKS","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms","hts decription",NA,1989,2011,NA,"41120",1989,2011,1993-07-01,2014-06-01,"89195","41120",NA,"1","3484","332994","00","Import",NA
"9305.29.5000","PARTS AND ACCESSORIES OF RIFLE, NESOI","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms","hts decription",NA,1989,2011,NA,"41120",1989,2011,1993-07-01,2014-06-01,"89195","41120",NA,"1","3484","332994","00","Import",NA
"9305.90.1000","PARTS AND ACCESSORIES FOR RIFLES OF HEADING 9301","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,52489897,1989,2001,NA,"Mixed",1989,2001,1993-07-01,2002-02-01,"89199","50010","50050","1","3484","332994","00","Both",NA
"9305.90.2000","PARTS AND ACCESSORIES FOR SHOTGUNS OF HEADING 9301","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,11765268,1989,2001,NA,"Mixed",1989,2001,1993-07-01,2002-02-01,"89199","50010","50050","1","3484","332994","00","Both",NA
"9305.90.3010","PARTS AND ACCESSORIES OF GUNS, HOWITZERS.AND MORTARS WITH A BORE DIAMETER OF 30-MM (118 CALIBER) OR LESS OF HEADING 9301","Parts and Accessories","Ordnance and Missiles","Artillery","Ordnance and Missiles",NA,NA,"Arms",NA,377548357,1989,2001,NA,"Mixed",1996,2001,2001-02-01,2002-02-01,"89199","50010","50050","1","3484","332994","00","Both",NA
"9305.90.3030","PART AND ACCESSORIES OF HEADING 9301, NESOI","Parts and Accessories","Ordnance and Missiles","Cross-Category Parts and Accessories","Ordnance and Missiles",NA,NA,"Arms",NA,1810384101,1989,2001,NA,"Mixed",1989,2001,1993-07-01,2002-02-01,"89199","50010","50050","1","3489","332995","00","Both",NA
"9305.90.4000","PARTS AND ACCESSORIES OF HEADING 9303 OTHER THAN SHOTGUNS OR RIFLES","Parts and Accessories","Ordnance and Missiles","Cross-Category Parts and Accessories","Ordnance and Missiles",NA,NA,"Arms",NA,4782382,1989,2001,NA,"41120",1989,2001,1993-07-01,2002-02-01,"89199","41120","41120","1","3484","332994","00","Both",NA
"9305.90.5000","PARTS AND ACCESSORIES FOR ARTICLE OF SUBHEADING 9304.00.20 OR 9304.00.40",NA,"Parts and Accessories",NA,NA,NA,NA,"Arms","USITC States these accessories are for military weapons",NA,1989,2001,NA,"41120",1989,2001,1993-07-01,2002-02-01,"89199","41120",NA,"1","3484","332994","09","Import",NA
"9305.90.5500","PART AND ACCESSORIES OF ARTICLES OF HEADINGS 9301 TO 9304, NESOI","Parts and Accessories","Ordnance and Missiles","Cross-Category Parts and Accessories","Ordnance and Missiles",NA,NA,"Arms",NA,464888333,1989,2001,NA,"41120",1989,2001,1994-07-01,2002-02-01,"89199",NA,"41120","1","3484","332994","00","Export",NA
"9305.90.6000","PARTS AND ACCESSORIES OF ARTICLES OF HEADINGS 9301 TO 9304, NESOI","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms","USITC States these accessories are for military weapons",NA,1989,2001,NA,"41120",1989,2001,1993-07-01,2002-02-01,"89199","41120",NA,"1","3484","332994","00","Import",NA
"9305.91.1000","PARTS AND ACCESSORIES FOR MILITARY RIFLES OF HEADING 9301","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,419131031,2002,2019,NA,"Mixed",2002,2019,2003-02-01,2019-03-01,"89199","50010","50050","1",NA,"332994","00","Both",NA
"9305.91.2000","PARTS AND ACCESSORIES FOR MILITARY SHOTGUNS OF HEADING 9301","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,17321283,2002,2019,NA,"Mixed",2002,2019,2003-02-01,2019-03-01,"89199","50010","50050","1",NA,"332994","00","Both",NA
"9305.91.3010","PARTS AND ACCESSORIES OF MILITARY ARTILLERY WEAPONS OF 9301.10","Parts and Accessories","Ordnance and Missiles","Artillery","Ordnance and Missiles",NA,NA,"Arms",NA,940486141,2002,2019,NA,"Mixed",2018,2019,2018-11-01,2019-03-01,"89199","50010","50050","1",NA,"332994","00","Both",NA
"9305.91.3030","PARTS  AND ACCESSORIES OF MILITARY WEAPONS OF  HEADING 9301, NESOI","Parts and Accessories","Ordnance and Missiles","Cross-Category Parts and Accessories","Ordnance and Missiles",NA,NA,"Arms",NA,4290095820,2002,2019,NA,"Mixed",2002,2019,2003-02-01,2019-03-01,"89199","50010","50050","1",NA,"Mixed","00","Both",NA
"9305.99.4000","PARTS AND ACCESSORIES OF HEADING 9303 OTHER THAN SHOTGUNS OR RIFLES","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,121982747,2002,2019,NA,"41120",2002,2019,2003-02-01,2019-03-01,"89199","41120","41120","1",NA,"332994","00","Both",NA
"9305.99.5000","PARTS AND ACCESSORIES FOR ARTICLE OF SUBHEADING 9304.00.20 OR 9304.00.40",NA,"Parts and Accessories",NA,NA,NA,NA,"Arms","USITC States these accessories are for military weapons",NA,2002,2012,NA,"41120",2002,2012,2003-02-01,2015-06-01,"89199","41120",NA,"1",NA,"332994","09","Import",NA
"9305.99.5010","NEW: Parts and accessories of paintball markers; Indent: 4","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,"41120",2019,2019,2019-03-01,2019-03-01,"89199","41120",NA,"1",NA,"332994","00","Import",NA
"9305.99.5050","NEW: Other; Indent: 4","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,"41120",2019,2019,2019-03-01,2019-03-01,"89199","41120",NA,"1",NA,"332994","09","Import","Import"
"9305.99.6000","NEW: Other; Indent: 3","Parts and Accessories","Ordnance and Missiles","Other Small Arms","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,"41120",2019,2019,2019-03-01,2019-03-01,"89199","41120",NA,"1",NA,"332994","00","Import",NA
"9305.99.6600","PART AND ACCESSORIES OF ARTICLES OF HEADINGS 9301 TO 9304, NESOI","Parts and Accessories","Ordnance and Missiles","Cross-Category Parts and Accessories","Ordnance and Missiles",NA,NA,"Arms",NA,417209885,2002,2019,NA,"41120",2019,2019,2019-03-01,2019-03-01,"89199",NA,"41120","1",NA,"332994","00","Export",NA
"9306.10.0000","CARTRIDGES FOR RIVETING OR SIMILAR TOOLS OR FOR CAPTIVE-BOLT HUMANE KILLERS AND PARTS THEREOF","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Dual",NA,193218473,1989,2006,NA,"Mixed",1989,2006,1993-07-01,2007-02-01,"89121","Mixed","Mixed","1","3482","332992","00","Both",NA
"9306.21.0000","SHOTGUN CARTRIDGES AND PARTS THEREOF","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,645042976,1989,2019,NA,"Mixed",2005,2019,2006-02-01,2019-03-01,"89122","50010","50050","1",NA,"332992","00","Both",NA
"9306.29.0000","PARTS FOR SHOTGUN CARTRIDGES INCLUDING EMPTY CARTRIDGE SHELLS AND AIR GUN PELLETS","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,445425964,1989,2019,NA,"Mixed",2002,2019,2003-02-01,2019-03-01,"89123","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4010","CARTRIDGES CONTAINING A PROJECTILE FOR RIFLE OR PISTOLS .22 CALIBER","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,162082982,1989,2006,NA,"Mixed",2005,2006,2006-02-01,2007-02-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4020","CARTRIDGES CONTAINING A PROJECTILE FOR RIFLE OR PISTOLS, NESOI","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,764661637,1989,2006,NA,"Mixed",2005,2006,2006-02-01,2007-02-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4030","CARTRIDGES CONTAINING A PROJECTILE, NESOI","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,815766376,1989,2006,NA,"Mixed",2005,2006,2006-02-01,2007-02-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4040","EMPTY CARTRIDGES SHELLS FOR RIFLES OR PISTOLS","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,39191890,1989,2006,NA,"Mixed",2005,2006,2006-02-01,2007-02-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4050","EMPTY CARTRIDGE SHELLS, NESOI","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,106710238,1989,2006,NA,"Mixed",2005,2006,2006-02-01,2007-02-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4060","CARTRIDGES NOT CONTAINING A PROJECTILE & NOT EMPTY SHELLS; BLANKS; SLUGS & PELLETS FOR GUNS USING GAS/SPRING OPERATED MECHANISM AS A PROPELLANT","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,136805624,1989,2006,NA,"Mixed",2005,2006,2006-02-01,2007-02-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4110","CARTRIDGES CONTAINING A PROJECTILE FOR RIFLE OR PISTOLS .22 CALIBER","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,448085519,2007,2019,NA,"Mixed",2007,2019,2008-02-01,2019-03-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4120","CARTRIDGES CONTAINING A PROJECTILE FOR RIFLE OR PISTOLS, NESOI","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,1615728805,2007,2019,NA,"Mixed",2007,2019,2008-02-01,2019-03-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
"9306.30.4130","CARTRIDGES CONTAINING A PROJECTILE, NESOI","Munitions","Ordnance and Missiles","Ammunition","Ordnance and Missiles",NA,NA,"Arms",NA,533442892,2007,2019,NA,"Mixed",2007,2019,2008-02-01,2019-03-01,"89124","50010","50050","1",NA,"332992","00","Both",NA
