"hts10","hts_description","USITC.Tier","PlatformPortfolio.USITC","PlatformPortfolio.Ordnance","PlatformPortfolio","PlatformPortfolio2","PlatformPortfolio3","ArmsDual","ClassificationJustification","Total","MinOfYear","MaxOfYear","Invalid","end_use","minyear","maxyear","mincid","maxcid","sitc","end_use_import","end_use_export","ag_code","sic","naics","hitech","flow","ATP"
"3603.00.0000","SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS, IGNITERS; ELECTRIC DETONATORS","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,5121318179,1989,2019,FALSE,"12770",2016,2019,2018-06-01,2019-03-01,"59320",NA,"12770","1",NA,"325920","00","Export",NA
"3603.10.0000","Safety fuses","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.20.0000","Detonating cords","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.30.0000","Percussion caps","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.40.0000","Detonating caps","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.50.0000","Igniters","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.60.0000","Electric detonators","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4011.30.0000","NEW PNEUMATIC TIRES, OF RUBBER, USED ON AIRCRAFT","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Dual",NA,862215094,1989,2008,FALSE,"22010",1989,2019,1994-07-01,2019-03-01,"62530",NA,"22010","1","3011","326211","00","Export",NA
"4011.30.0050","NEW PNEUMATIC TIRES, OF RUBBER, USED ON AIRCRAFT, EXCEPT CIVIL AIRCRAFT USE","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,NA,NA,NA,NA,"50000",1989,2019,1993-07-01,2019-03-01,"62530","50000",NA,"1","3011","326211","00","Import",NA
"4012.10.1050","RETREADED TIRES OF RUBBER, FOR USE IN AIRCRAFT, EXC CIVIL AIRCRAFT, NESOI",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","hts description",NA,1989,2001,FALSE,"50000",1989,2001,1993-07-01,2002-02-01,"62592","50000",NA,"1","9200","326212","00","Import",NA
"4012.10.5020","RETREADED TIRES, OF RUBBER, FOR ON-THE-HIGHWAY TRUCK AND BUS","Parts and Accessories","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,47764848,1989,2001,FALSE,"30220",1989,2001,1994-07-01,2002-02-01,"62592",NA,"30220","1","9200","326212","00","Export",NA
"4012.10.6000","RETREADED TIRES, OF RUBBER, EXCEPT FOR ON-THE-HIGHWAY TRUCK AND BUS, NESOI","Parts and Accessories","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,117897819,1989,2001,FALSE,"30220",1989,2001,1994-07-01,2002-02-01,"62592",NA,"30220","1","9200","326212","00","Export",NA
"4012.13.0000","RETREADED TIRES OF RUBBER,  OF A KIND USED ON AIRCRAFT","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Dual",NA,33230298,2002,2008,NA,"22010",2002,2019,2003-02-01,2019-03-01,"62592",NA,"22010","1",NA,"326212","00","Export",NA
"4012.13.0050","RETREADED TIRES OF RUBBER,  OF A KIND USED ON AIRCRAFT, EXCEPT CIVIL AIRCRAFT USE","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,NA,NA,NA,FALSE,"50000",2002,2019,2003-02-01,2019-03-01,"62592","50000",NA,"1",NA,"326212","00","Import",NA
"4012.20.0000","USED PNEUMATIC TIRES OF RUBBER","Parts and Accessories","Cross-Platform","Cross-Platform","Land Vehicles","Aircraft",NA,"Dual",NA,660678579,1989,2019,NA,"30220",1989,2019,1994-07-01,2019-03-01,"62593",NA,"30220","1","9200","Mixed","00","Export",NA
"4012.20.1050","USED PNEUMATIC TIRES OF RUBBER,  OF A KIND USED ON AIRCRAFT, EXCEPT CIVIL AIRCRAFT USE","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,NA,NA,NA,FALSE,"50000",1989,2019,1993-07-01,2019-03-01,"62593","50000",NA,"1","9200","Mixed","00","Import",NA
"8407.10.0090","SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON TYPE AIRCRAFT ENGINES, EXCEPT CIVIL AIRCRAFT USE","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,2962650771,1989,2019,FALSE,"Mixed",1989,2019,1993-07-01,2019-03-01,"71311","50000","50020","1","3724","336412","00","Both",NA
"8407.21.0000","OUTBOARD ENGINES FOR MARINE PROPULSION","Engines","Ships & Submarines","Ships & Submarines","Ships/Subs",NA,NA,"Dual",NA,7527570416,1989,2019,FALSE,"41110",1989,2019,1994-07-01,2019-03-01,"71331",NA,"41110","1","3519","333618","00","Export",NA
"8407.29.0010","SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES FOR MARINE PROPULSION, INBOARD ENGINES WITH OUTBOARD DRIVE","Engines","Ships & Submarines","Ships & Submarines","Ships/Subs",NA,NA,"Dual",NA,1394212178,1989,2019,FALSE,"41110",1989,2019,1993-07-01,2019-03-01,"71332","41110","41110","1","3519","333618","00","Both",NA
"8407.29.0050","INBOARD ENGINES WITH INBOARD DRIVE FOR MARINE PROPULSION","Engines","Ships & Submarines","Ships & Submarines","Ships/Subs",NA,NA,"Dual",NA,362178591,1989,2019,FALSE,"41110",1989,2019,1994-07-01,2019-03-01,"71332",NA,"41110","1","3519","333618","00","Export",NA
"8407.31.0000","SPARK-IGNITION RECIPROCATING PISTON ENGINES OF A KIND USED FOR THE PROPULSION OF VEHICLES OF CHAPTER 87, NOT EXCEEDING 50 CC CYLINDER CAPACITY","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,44575845,1989,2019,FALSE,"Mixed",1989,2019,1994-07-01,2019-03-01,"71321",NA,"Mixed","1","Mixed","333618","00","Export",NA
"8407.32.2000","SPARK-IGNITION PISTON ENGINES EXCEEDING 50 CC BUT NOT EXCEEDING 250 CC,TO BE INSTALLED IN ROAD TRACTORS,MOTOR BUSES,AUTOMOBILES OR TRUCKS,NEW OR USED","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,107219935,1989,2019,FALSE,"30200",1996,2019,2001-02-01,2019-03-01,"71321",NA,"30200","1","3714","Mixed","00","Export",NA
"8407.32.5000","SPARK IGNITION RECIPROCATING PISTON ENGINES EXCEEDING 50 CC BUT NOT EXCEEDING 250 CC, FOR VEHICLES OF CHAPTER 87, NESOI","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,466856215,1989,2019,FALSE,"Mixed",1996,2019,2001-02-01,2019-03-01,"71321",NA,"Mixed","1","3519","333618","00","Export",NA
"8407.33.2000","SPARK-IGNITION PISTON ENGINES EXCEEDING 250 CC BUT NOT EXCEEDING 1000 CC,TO BE INSTALLED IN ROAD TRACTORS,MOTOR BUSES,AUTOMOBILES OR TRUCKS,NEW/USED","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,429633912,1989,2019,FALSE,"30200",1996,2019,2001-02-01,2019-03-01,"71321",NA,"30200","1","3714","Mixed","00","Export",NA
"8407.33.5000","SPARK-IGNITION RECIPROCATING PISTON ENGINES EXCEEDING 250 CC BUT NOT EXCEEDING 1000 CC, NESOI","Engines","Cross-Platform","Cross-Platform","Aircraft","Ships/Subs","Land Vehicles","Dual",NA,362869809,1989,2019,FALSE,"Mixed",1996,2019,2001-02-01,2019-03-01,"71321",NA,"Mixed","1","3519","333618","00","Export",NA
"8407.34.2000","SPARK-IGNITION PISTON ENGINES EXCEEDING 1000 CC, TO BE INSTALLED IN ROAD TRACTORS, MOTOR BUSES, AUTOMOBILES OR TRUCK TRACTORS","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,10193902019,1989,1994,FALSE,"30200",1989,1994,1994-07-01,1999-06-01,"71322",NA,"30200","1","3714",NA,NA,"Export",NA
"8407.34.2030","SPARK-IGNITION PISTON ENGINES EXCEEDING 1000CC AND NOT EXCEEDING 2000 CC TO BE INSTALLED IN ROAD TRUCKS, BUSES, AUTOMOBILES OR TRUCK TRACTORS","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,8372967429,1995,2019,FALSE,"30200",1996,2019,2001-02-01,2019-03-01,"71322",NA,"30200","1","3714","Mixed","00","Export",NA
"8407.34.2090","SPARK-IGNITION PISTON ENGINES EXCEEDING 2000 CC, TO BE INSTALLED IN ROAD TRACTORS, MOTOR BUSES, AUTOMOBILES OR TRUCK TRACTORS","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,93205626921,1995,2019,FALSE,"30200",1995,2019,2000-06-01,2019-03-01,"71322",NA,"30200","1","3714","Mixed","00","Export",NA
"8407.34.5000","SPARK-IGNITION RECIPROCATING PISTON ENGINES EXCEEDING 1000 CC, NESOI","Engines","Cross-Platform","Cross-Platform","Aircraft","Ships/Subs","Land Vehicles","Dual",NA,2417762925,1989,2019,FALSE,"Mixed",1989,2019,1994-07-01,2019-03-01,"71322",NA,"Mixed","1","3519","333618","00","Export",NA
"8407.90.9010","SPARK-IGNITION INTERNAL COMBUSTION PISTON TYPE GAS (NATURAL OR LP) ENGINES","Engines","Cross-Platform","Cross-Platform","Aircraft","Ships/Subs","Land Vehicles","Dual",NA,3885308184,1989,2019,FALSE,"21100",1989,2019,1993-07-01,2019-03-01,"71381","21100","21100","1","3519","333618","00","Both",NA
"8407.90.9030","SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES, NESOI, LESS THAN 4476 W (6 HP)","Engines","Cross-Platform","Cross-Platform","Aircraft","Ships/Subs","Land Vehicles","Dual",NA,1653636229,1989,2019,FALSE,"21100",1989,2019,1994-07-01,2019-03-01,"71381",NA,"21100","1","3519","333618","00","Export",NA
"8407.90.9050","SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES, NESOI","Engines","Cross-Platform","Cross-Platform","Ships/Subs","Land Vehicles",NA,"Dual",NA,3467821282,1989,2019,FALSE,"21100",1989,2019,1994-07-01,2019-03-01,"71381",NA,"21100","1","3519","333618","00","Export",NA
"8409.10.0080","PARTS FOR SPARK-IGNITION OR COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINES FOR USE IN AIRCRAFT EXCEPT CIVIL","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,2715501535,1989,2019,FALSE,"Mixed",1989,2019,1993-07-01,2019-03-01,"71319","50000","50020","1","3724","336412","00","Both",NA
"8409.91.4000","PARTS FOR SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINES FOR USE IN ROAD TRACTORS, MOTOR BUSES, AUTOMOBILES OR TRUCKS","Parts and Accessories","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,30516969008,1989,2019,FALSE,"30200",1989,2019,1994-07-01,2019-03-01,"71391",NA,"30200","1","3714","Mixed","00","Export",NA
"8409.91.6000","PARTS FOR SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINES FOR MARINE PROPULSION","Parts and Accessories","Ships & Submarines","Ships & Submarines","Ships/Subs",NA,NA,"Dual",NA,3671010438,1989,2019,FALSE,"41110",1989,2019,1994-07-01,2019-03-01,"71391",NA,"41110","1","3519","333618","00","Export",NA
"8409.91.8000","PARTS FOR SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINES, NESOI","Parts and Accessories","Cross-Platform","Cross-Platform","Aircraft","Ships/Subs","Land Vehicles","Dual",NA,41441687348,1989,2019,FALSE,"21100",1989,2019,1994-07-01,2019-03-01,"71391",NA,"21100","1","3519","333618","00","Export",NA
"8409.99.4000","PARTS FOR COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINES (DIESEL) FOR USE IN ROAD TRACTORS, MOTOR BUSES, AUTOMOBILES OR TRUCKS","Parts and Accessories","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,18471727037,1989,2019,FALSE,"30200",1989,2019,1994-07-01,2019-03-01,"71392",NA,"30200","1","3519","333618","00","Export",NA
"8409.99.6000","PARTS FOR COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINES (DIESEL) FOR MARINE PROPULSION","Parts and Accessories","Ships & Submarines","Ships & Submarines","Ships/Subs",NA,NA,"Dual",NA,2026663450,1989,2019,FALSE,"22220",1989,2019,1994-07-01,2019-03-01,"71392",NA,"22220","1","3519","333618","00","Export",NA
"8409.99.8000","PARTS FOR COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINES (DIESEL), NESOI","Parts and Accessories","Cross-Platform","Cross-Platform","Aircraft","Ships/Subs","Land Vehicles","Dual",NA,26736406813,1989,2019,FALSE,"21100",1989,2019,1994-07-01,2019-03-01,"71392",NA,"21100","1","3519","333618","00","Export",NA
"8411.11.4050","TURBOJET AIRCRAFT TURBINES (ENGINES) OTHER THAN FOR CIVIL AIRCRAFT, OF A THRUST NOT EXCEEDING 25 KN","Engines","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,602443039,1989,2019,FALSE,"50020",1996,2019,2001-02-01,2019-03-01,"71441",NA,"50020","1","3724","336412","08","Export","Export"
"8411.11.8000","TURBOJET TURBINES (ENGINES), EXCEPT AIRCRAFT, OF A THRUST NOT EXCEEDING 25 KN","Engines","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,1487718351,1989,2019,FALSE,"21100",2002,2019,2003-02-01,2019-03-01,"71441","21100","21100","1",NA,"333611","00","Both",NA
"8411.12.4050","TURBOJET AIRCRAFT TURBINES (ENGINES) OTHER THAN FOR CIVIL AIRCRAFT, OF A THRUST EXCEEDING 25 KN","Engines","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,3910478286,1989,2019,FALSE,"50020",1989,2019,1994-07-01,2019-03-01,"71441",NA,"50020","1","3724","336412","08","Export","Export"
"8411.12.8000","TURBOJET TURBINES (ENGINES), EXCEPT AIRCRAFT, OF A THRUST EXCEEDING 25 KN","Engines","Cross-Platform","Cross-Platform","Ships/Subs","Land Vehicles",NA,"Dual",NA,1343320281,1989,2019,FALSE,"21100",1989,2019,1993-07-01,2019-03-01,"71441","21100","21100","1","3511","333611","00","Both",NA
"8411.21.4050","TURBOPROPELLER AIRCRAFT TURBINES (ENGINES) OTHER THAN FOR CIVIL AIRCRAFT, OF A POWER NOT EXCEEDING 1100 KW","Engines","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,626472792,1989,2019,FALSE,"50020",2010,2019,2013-06-01,2019-03-01,"71481",NA,"50020","1",NA,"336412","08","Export","Export"
"8411.21.8000","TURBOPROPELLER TURBINES (ENGINES), EXCEPT AIRCRAFT, OF A POWER NOT EXCEEDING 1,100 KW","Engines","Cross-Platform","Cross-Platform","Ships/Subs","Land Vehicles",NA,"Dual",NA,251763940,1989,2019,FALSE,"21100",1989,2019,1993-07-01,2019-03-01,"71481","21100","21100","1","3511","333611","00","Both",NA
"8411.22.4050","TURBOPROPELLER AIRCRAFT TURBINES (ENGINES) OTHER THAN FOR USE IN CIVIL AIRCRAFT, OF A POWER EXCEEDING 1100 KW","Engines","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,1389864368,1989,2019,FALSE,"50020",1989,2019,1994-07-01,2019-03-01,"71481",NA,"50020","1","3724","336412","08","Export","Export"
"8411.22.8000","TURBOPROPELLER TURBINES (ENGINES), EXCEPT AIRCRAFT, OF A POWER EXCEEDING 1,100 KW","Engines","Cross-Platform","Cross-Platform","Ships/Subs","Land Vehicles",NA,"Dual",NA,450269012,1989,2019,FALSE,"21100",1989,2019,1993-07-01,2019-03-01,"71481","21100","21100","1","3511","333611","00","Both",NA
"8411.81.4050","AIRCRAFT TURBINES (ENGINES), EXCEPT FOR USE IN CIVIL AIRCRAFT, OF A POWER NOT EXCEEDING 5000 KW","Engines","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,1487002716,1989,2019,FALSE,"50020",1989,2019,1994-07-01,2019-03-01,"71489",NA,"50020","1","3724","336412","08","Export","Export"
"8411.81.8000","GAS TURBINE ENGINE, EXCEPT AIRCRAFT NESOI, OF A POWER NOT EXCEEDING 5,000 KW","Engines","Cross-Platform","Cross-Platform","Ships/Subs","Land Vehicles",NA,"Dual",NA,4661091185,1989,2019,FALSE,"21100",2002,2019,2003-02-01,2019-03-01,"71489","21100","21100","1",NA,"333611","00","Both",NA
"8411.82.4050","AIRCRAFT TURBINES (ENGINES), EXCEPT FOR USE IN CIVIL AIRCRAFT, OF A POWER EXCEEDING 5000 KW","Engines","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,1232843376,1989,2019,FALSE,"50020",1989,2019,1994-07-01,2019-03-01,"71489",NA,"50020","1","3724","336412","08","Export","Export"
"8411.82.8000","GAS TURBINE ENGINES, EXCEPT AIRCRAFT NESOI, OF A POWER EXCEEDING 5,000 KW","Engines","Cross-Platform","Cross-Platform","Ships/Subs","Land Vehicles",NA,"Dual",NA,45821526457,1989,2019,FALSE,"21100",2002,2019,2003-02-01,2019-03-01,"71489","21100","21100","1",NA,"333611","00","Both",NA
"8411.91.1090","Turbojets, turbopropellers and other gas turbines, and parts thereof: Parts: Of turbojets or turbopropellers: Cast-iron parts, not advanced beyond cleaning, and machined only for the removal of fins, gates, sprues and risers or to permit location in finishing machinery Parts of aircraft turbines: Other than For use in civil aircraft",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","hts decscription ""Other than for use in Civil aircraft""",NA,NA,NA,FALSE,"50000",1989,2019,1993-07-01,2019-03-01,"71491","50000",NA,"1","3724","336412","00","Import",NA
"8411.91.1090","CAST-IRON PARTS, NOT ADVANCED BEYOND CLEANING, FOR TURBOJET OR TURBOPROPELLER AIRCRAFT ENGINES, EXCEPT CIVIL AIRCRAFT",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","hts decscription",NA,1989,2019,FALSE,"50000",1989,2019,1993-07-01,2019-03-01,"71491","50000",NA,"1","3724","336412","00","Import",NA
"8411.91.4000","PARTS OF NONAIRCRAFT TURBOJETS AND TURBOPROPELLERS","Parts and Accessories","Cross-Platform","Cross-Platform","Ships/Subs","Land Vehicles",NA,"Dual",NA,3671576454,1989,2019,FALSE,"21100",1989,2019,1994-07-01,2019-03-01,"71491",NA,"21100","1","3511","333611","00","Export",NA
"8411.91.7050","PARTS OF TURBOJET AND TURBOPROPELLER AIRCRAFT ENGINES, OTHER THAN FOR USE IN CIVIL AIRCRAFT","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,22086436950,1989,2019,FALSE,"50020",1989,2019,1994-07-01,2019-03-01,"71491",NA,"50020","1","3724","336412","08","Export","Export"
"8411.99.1080","Turbojets, turbopropellers and other gas turbines, and parts thereof: Parts: Other: Cast-iron parts, not advanced beyond cleaning, and machined only for the removal of fins, gates, sprues and risers or to permit location in finishing machinery Parts of aircraft gas turbines: Other than For use in civil aircraft",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","hts decscription",NA,NA,NA,FALSE,"50000",1989,2019,1993-07-01,2019-03-01,"71499","50000",NA,"1","3724","336412","00","Import",NA
"8411.99.1080","CAST-IRON PARTS, NOT ADVANCED BEYOND CLEANING, FOR AIRCRAFT GAS TURBINES, EXCEPT CIVIL, OR TURBOJETS OR TURBOPROPELLERS",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","hts decscription",NA,1989,2019,FALSE,"50000",1989,2019,1993-07-01,2019-03-01,"71499","50000",NA,"1","3724","336412","00","Import",NA
"8411.99.4000","PARTS OF NONAIRCRAFT GAS TURBINES","Parts and Accessories","Cross-Platform","Cross-Platform","Ships/Subs","Land Vehicles",NA,"Dual",NA,75747384896,1989,2019,FALSE,"21100",2019,2019,2019-03-01,2019-03-01,"71499",NA,"21100","1",NA,"333611","00","Export",NA
"8411.99.7050","PARTS OF GAS TURBINE AIRCRAFT ENGINES, OTHER THAN FOR USE IN CIVIL AIRCRAFT","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,10054462614,1989,2019,FALSE,"50020",1989,2019,1994-07-01,2019-03-01,"71499",NA,"50020","1","3724","336412","08","Export","Export"
"8705.90.0010","Special purpose motor vehicles, other than those principally designed for the transport of persons or goods (for example, wreckers, mobile cranes, fire fighting vehicles, concrete mixers, road sweepers, spraying vehicles, mobile workshops, mobile radiological units): Other Mobile radiological units",NA,"Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Civil","htsdata ""Mobile radiological units""",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8705.90.0020","Special purpose motor vehicles, other than those principally designed for the transport of persons or goods (for example, wreckers, mobile cranes, fire fighting vehicles, concrete mixers, road sweepers, spraying vehicles, mobile workshops, mobile radiological units): Other Mobile medical clinics",NA,"Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Civil","htsdata ""mobile medical clinics""",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8705.90.0080","Special purpose motor vehicles, other than those principally designed for the transport of persons or goods (for example, wreckers, mobile cranes, fire fighting vehicles, concrete mixers, road sweepers, spraying vehicles, mobile workshops, mobile radiological units): Other Other than Mobile medical clinics",NA,"Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Civil","htsdata subcategory of civil use equipment",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8710.00.0030","TRACKED (INCLUDING HALF-TRACKED) VEHICLES","Systems and Ordnance","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,6104071173,1989,2019,FALSE,"Mixed",1989,2019,1993-07-01,2019-03-01,"89111","50010","50030","1","3795","336992","00","Both",NA
"8710.00.0060","ARMORED FIGHTING VEHICLES,MOTORIZED WHETHER OR NOT FITTED WITH WEAPONS NESOI","Systems and Ordnance","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Arms",NA,6873245126,1989,2019,FALSE,"Mixed",1989,2019,1993-07-01,2019-03-01,"89111","50010","50030","1","3795","336992","00","Both",NA
"8710.00.0090","PARTS OF ARMORED FIGHTING VEHICLES,MOTORIZED, WHETHER OR NOT FITTED WITH WEAPONS","Systems and Ordnance","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Arms",NA,18068245183,1989,2019,FALSE,"Mixed",1989,2019,1994-07-01,2019-03-01,"89111","50010","50030","1","3795","336992","00","Both",NA
"8802.11.0015","NEW HELICOPTERS, MILITARY, OF AN UNLADEN WEIGHT NOT EXCEEDING 2,000 KG","Systems and Ordnance","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,793059994,1989,2018,FALSE,"50000",2002,2019,2003-02-01,2019-03-01,"79211","50000","50000","1",NA,"336411","08","Both",NA
"8802.11.0060","USED OR REBUILT HELICOPTERS, MILITARY, OF AN UNLADEN WEIGHT NOT EXCEEDING 2,000 KG","Systems and Ordnance","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,137982986,1989,2018,FALSE,"50000",2002,2019,2003-02-01,2019-03-01,"79211","50000","50000","1",NA,"336411","00","Both",NA
"8802.11.0115","Other aircraft (for example, helicopters, airplanes, except unmanned aircraft of heading 8806); spacecraft (including satellites) and suborbital and spacecraft launch vehicles: Helicopters: Of an unladen weight not exceeding 2,000 kg New: Military",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","htsdata designated as ""military""",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both"
"8802.11.0160","Other aircraft (for example, helicopters, airplanes, except unmanned aircraft of heading 8806); spacecraft (including satellites) and suborbital and spacecraft launch vehicles: Helicopters: Of an unladen weight not exceeding 2,000 kg Used or rebuilt: Military",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","htsdata designated as ""military""",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8802.12.0020","NEW HELICOPTERS, MILITARY, OF AN UNLADEN WEIGHT EXCEEDING 2,000 KG","Systems and Ordnance","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,19169714719,1989,2019,FALSE,"50000",2002,2019,2003-02-01,2019-03-01,"79215","50000","50000","1",NA,"336411","08","Both",NA
"8802.12.0060","USED OR REBUILT HELICOPTERS, MILITARY, OF AN UNLADEN WEIGHT EXCEEDING 2,000 KG","Systems and Ordnance","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,1512061700,1989,2019,FALSE,"50000",2002,2019,2003-02-01,2019-03-01,"79215","50000","50000","1",NA,"336411","00","Both",NA
"8802.12.0120","Other aircraft (for example, helicopters, airplanes, except unmanned aircraft of heading 8806); spacecraft (including satellites) and suborbital and spacecraft launch vehicles: Helicopters: Of an unladen weight exceeding 2,000 kg New: Military",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","htsdata designated as ""military""",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both"
"8802.12.0160","Other aircraft (for example, helicopters, airplanes, except unmanned aircraft of heading 8806); spacecraft (including satellites) and suborbital and spacecraft launch vehicles: Helicopters: Of an unladen weight exceeding 2,000 kg Used or rebuilt: Military",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","htsdata designated as ""military""",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8802.20.0015","AIRPLANES AND OTHER AIRCRAFT, OF AN UNLADEN WEIGHT NOT EXCEEDING 450 KG","Systems and Ordnance","Aerospace","Aerospace","Aircraft",NA,NA,"Dual",NA,168401937,1989,2008,FALSE,"22000",2002,2019,2003-02-01,2019-03-01,"79220","22000","22000","1",NA,"336411","00","Both",NA
"8802.20.0020","NEW AIRPLANES, MILITARY, OF AN UNLADEN WEIGHT EXCEEDING 450 KG BUT NOT EXCEEDING 2,000 KG","Systems and Ordnance","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,117135508,1989,2014,FALSE,"50000",2010,2019,2013-06-01,2019-03-01,"79220","50000","50000","1",NA,"336411","00","Both",NA
