Industry,NAICS Code
Aircraft Manufacturing,336411
Aircraft Engine and Engine Parts Manufacturing,336412
Alumina Refining and Primary Aluminum Production,331313
Ball and Roller Bearing Manufacturing,332991
Computer Storage Device Manufacturing,334112
Electronic Computer Manufacturing,334111
Guided Missile and Space Vehicle Manufacturing,336414
Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,336415
"Military Armored Vehicle, Tank, and Tank Component Manufacturing",336992
Nuclear Electric Power Generation,221113
Optical Instrument and Lens Manufacturing,333314
Other Basic Inorganic Chemical Manufacturing,325180
Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,336419
Petrochemical Manufacturing,325110
Petrochemical Manufacturing Powder Metallurgy Part Manufacturing,332117
"Power, Distribution, and Specialty Transformer Manufacturing",335311
Primary Battery Manufacturing,335912
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,334220
Research and Development in Nanotechnology,541713
Research and Development in Biotechnology (except Nanobiotechnology),541714
Secondary Smelting and Alloying of Aluminum,331314
"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",334511
Semiconductor and Related Device Manufacturing,334413
Semiconductor Machinery Manufacturing,333242
Storage Battery Manufacturing,335911
Telephone Apparatus Manufacturing,334210
Turbine and Turbine Generator Set Units Manufacturing,333611
