ProductOrServiceCode,ProductOrServiceCodeText,PlatformPortfolio,ProductOrServiceCode1L,ProductOrServiceCode2L,ProductOrServiceCode2R,ProductOrServiceCode1L1R,Simple,DoDportfolioGroup,DoDportfolio,DoDportfolioCategory,DoDportfolioSubCategory,ProductServiceOrRnDarea,Level1_Code,Level1_Category,Level2_Code,Level2_Category
,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1000,NONE,Ordnance and Missiles,1,10,0,10,Products,2.  Weapons & Ammunition,Guns,Guns through 30 mm,No Description,Launchers & Munitions,NULL,NULL,NULL,NULL
1005,"GUNS, THROUGH 30 MM",Ordnance and Missiles,1,10,5,15,Products,2.  Weapons & Ammunition,Guns,Guns through 30 mm,Guns through 30 mm,Launchers & Munitions,12,Weapons & Ammunition,12.4,Guns
1010,"GUNS, OVER 30 MM UP TO 75 MM",Ordnance and Missiles,1,10,10,10,Products,2.  Weapons & Ammunition,Guns,Guns Over 30 mm through To 75 mm,Guns Over 30 mm through To 75 mm,Launchers & Munitions,12,Weapons & Ammunition,12.4,Guns
1015,"GUNS, 75 MM THROUGH 125 MM",Ordnance and Missiles,1,10,15,15,Products,2.  Weapons & Ammunition,Guns,Guns 75 mm through 125 mm,Guns 75 mm through 125 mm,Launchers & Munitions,12,Weapons & Ammunition,12.4,Guns
1020,GUNS OVER 125 MM THROUGH 150 MM,Ordnance and Missiles,1,10,20,10,Products,2.  Weapons & Ammunition,Guns,Guns Over 125 mm through 150 mm,Guns Over 125 mm through 150 mm,Launchers & Munitions,12,Weapons & Ammunition,12.4,Guns
1025,GUNS OVER 150 MM THROUGH 200 MM,Ordnance and Missiles,1,10,25,15,Products,2.  Weapons & Ammunition,Guns,Guns Over 150 mm through 200 mm,Guns Over 150 mm through 200 mm,Launchers & Munitions,12,Weapons & Ammunition,12.4,Guns
1030,GUNS OVER 200 MM THROUGH 300 MM,Ordnance and Missiles,1,10,30,10,Products,2.  Weapons & Ammunition,Guns,Guns Over 200 mm through 300 mm,Guns Over 200 mm through 300 mm,Launchers & Munitions,12,Weapons & Ammunition,12.4,Guns
1035,"GUNS, OVER 300 MM",Ordnance and Missiles,1,10,35,15,Products,2.  Weapons & Ammunition,Guns,Guns Over 300 mm,Guns Over 300 mm,Launchers & Munitions,12,Weapons & Ammunition,12.4,Guns
1040,CHEMICAL WEAPONS AND EQUIPMENT,Ordnance and Missiles,1,10,40,10,Products,2.  Weapons & Ammunition,Weapons,Chemical Weapons and Equipment,Chemical Weapons and Equipment,Launchers & Munitions,12,Weapons & Ammunition,12.6,Weapons
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE",Ordnance and Missiles,1,10,45,15,Products,2.  Weapons & Ammunition,Weapons,"Launchers, Torpedo and Depth Charge","Launchers, Torpedo and Depth Charge",Launchers & Munitions,12,Weapons & Ammunition,12.6,Weapons
