fundingrequestingagencyid,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,31162,35588,53307,78856,675326,865213,1860879,2110976,2329052,1323150,501736,17487,1327,412,49,54,76,48,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,5.2%,5.5%,6.4%,6.7%,33.8%,29.6%,49.1%,51.4%,51.7%,37.9%,14.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
fundingrequestingofficeid,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,571034,618407,739306,1008520,1257007,973493,1965742,2192400,2399021,1390137,517363,17488,1368,413,62,54,76,49,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.0%,96.3%,89.0%,85.2%,62.9%,33.4%,51.8%,53.4%,53.3%,39.8%,14.6%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
fundedbyforeignentity,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,577961,622728,803932,1148518,1944831,2855870,3722837,4004522,4370910,3350922,3338185,3145969,2832038,2213737,2166269,569820,1761,1860,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.2%,97.0%,96.8%,97.0%,97.4%,97.8%,98.1%,97.5%,97.1%,95.9%,94.4%,92.5%,90.7%,88.8%,85.8%,13.0%,0.0%,0.0%
signeddate,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
effectivedate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
currentcompletiondate,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,3448,2314,1828,1336,2320,1724,2013,3071,3871,14942,24710,26880,30744,40357,52256,146767,201348,187754,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.6%,0.4%,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.4%,0.7%,0.8%,1.0%,1.6%,2.1%,3.4%,4.2%,4.4%
ultimatecompletiondate,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,8884,9938,14613,17991,26522,30057,26172,6776,9759,23932,35875,28308,30744,40357,52259,146785,201382,187760,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1.5%,1.5%,1.8%,1.5%,1.3%,1.0%,0.7%,0.2%,0.2%,0.7%,1.0%,0.8%,1.0%,1.6%,2.1%,3.4%,4.2%,4.4%
lastdatetoorder,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,569781,616062,793841,1132780,1906734,2839865,3714116,4001701,4386240,3339282,3358368,3213797,2937046,2287323,2321059,4167602,4611926,4036539,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.8%,95.9%,95.6%,95.7%,95.5%,97.3%,97.9%,97.4%,97.4%,95.6%,95.0%,94.5%,94.0%,91.8%,92.0%,95.4%,95.8%,95.6%
contractactiontype,0,2,235,43377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,3.5%,8.4%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
reasonformodification,2,57,2813,217181,249091,240574,227900,230088,239910,259356,169953,174144,183649,420651,450516,570647,856852,1526907,2280123,3098932,3268965,3582088,2489180,2430972,2206491,1964575,1388131,1445854,3261963,3683275,3106417,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.4%,66.2%,67.0%,67.6%,70.7%,70.2%,68.7%,72.4%,76.4%,78.1%,81.7%,79.6%,79.6%,71.3%,68.8%,64.9%,62.9%,55.7%,57.3%,74.6%,76.5%,73.5%
