"CSIScontractID","override_unmodified_ceiling","override_unmodified_base","override_change_order_growth","override_exercised_growth","CSIS_inspection"
8665643,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
25049082,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
1286145,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
2362527,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
27649914,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
8666052,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
8114536,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
24799263,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
9991108,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
61815629,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
2970558,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
8413827,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
3229787,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
24892349,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496473,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892352,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893482,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893559,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
26328741,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893608,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435864,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435842,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435850,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893172,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
26435878,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893308,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496510,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328634,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893212,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893332,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893410,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893334,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893035,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
28553220,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893356,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893010,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892405,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892304,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893268,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893425,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893024,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328699,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893321,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893318,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893023,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892343,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893200,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892974,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26374490,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893027,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893560,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893369,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328717,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496519,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892434,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328686,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435862,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892523,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893169,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893059,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893607,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893656,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892435,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496598,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893315,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893140,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496345,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893325,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893358,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496609,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892346,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893146,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893207,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892760,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496543,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893304,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893273,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893190,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892339,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893220,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893379,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892436,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893303,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893568,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435863,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893484,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893642,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893331,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893654,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893653,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435844,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893564,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496306,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893409,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892769,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
28242240,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893058,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893118,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893015,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893018,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892284,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892447,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435854,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893605,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893008,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893216,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328687,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496649,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328745,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496657,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892286,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893424,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893007,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893031,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496521,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893184,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328673,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893336,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496534,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893002,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496334,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893411,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328730,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328679,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893066,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893544,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893180,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892337,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328690,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893198,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893176,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892984,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435860,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328703,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893357,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893611,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893276,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893131,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893330,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892996,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892248,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
26328716,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496607,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893153,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892403,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893045,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496665,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328735,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893156,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893270,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893060,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328706,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893039,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496479,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893414,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893301,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893044,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893070,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328715,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
28553218,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
26435879,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893352,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
25582259,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893309,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893206,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893320,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496583,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893112,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328743,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893163,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893328,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893201,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892971,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893313,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893229,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
26328688,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892299,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496529,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893136,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892400,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892758,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893063,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893645,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892529,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26374479,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328681,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893319,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893625,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893306,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893346,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893042,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892773,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893148,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892293,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893078,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893249,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893104,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893025,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893638,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892768,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435859,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435841,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893152,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893240,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893639,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893253,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
