

====================================================
Starting ETL.Sp_FPDSdelta_5_FixCodeNameMismatch
Start Time: 2026-06-13 12:08:37
Total record to process: 1425010
====================================================
sam_exception









recipient_duns	recipient_uei	recipient_parent_duns	recipient_parent_uei	contract_transaction_unique_key



























productorservicecode	product_or_service_code_description	minofsignedyear	maxofsignedyear	minoflast_modified_year	maxoflast_modified_year	PlatformPortfolio	ProductServiceOrRnDarea	RnD_budgetActivity
AC15	NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AC23	R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Space Systems	Advanced Development	Advanced Development
AC23	R&D-MISSILE & SPACE SYS-ADV DEV	2001	2009	2005	2022	Space Systems	Advanced Development	Advanced Development
AC23	NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AC24	R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)	2020	2020	2020	2022	Space Systems	Engineering Development	Engineering Development
AC24	R&D-MISSILE & SPACE SYS-ENG DEV	2001	2009	2004	2022	Space Systems	Engineering Development	Engineering Development
AC24	NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AC25	R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2022	Space Systems	Operational Systems Development	Operational Systems Development
AC25	R&D-MISSILE & SPACE SYS-OPSY DEV	2001	2009	2006	2022	Space Systems	Operational Systems Development	Operational Systems Development
AC25	NATIONAL DEFENSE R&D SVCS; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AC33	R&D- DEFENSE SYSTEM: SHIPS (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Ships & Submarines	Advanced Development	Advanced Development
AC33	DEFENSE SHIPS (ADVANCED)	2001	2009	2006	2022	Ships & Submarines	Advanced Development	Advanced Development
AC33	NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AC34	R&D- DEFENSE SYSTEM: SHIPS (ENGINEERING DEVELOPMENT)	2020	2020	2020	2022	Ships & Submarines	Engineering Development	Engineering Development
AC34	DEFENSE SHIPS (ENGINEERING)	2001	2009	2005	2022	Ships & Submarines	Engineering Development	Engineering Development
AC34	NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AC35	R&D- DEFENSE SYSTEM: SHIPS (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2022	Ships & Submarines	Operational Systems Development	Operational Systems Development
AC35	DEFENSE SHIPS (OPERATIONAL)	2001	2009	2005	2022	Ships & Submarines	Operational Systems Development	Operational Systems Development
AC35	NATIONAL DEFENSE R&D SVCS; DEFENSE-RELATED ACTIVITIES; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AF13	EDUCATION (ADVANCED)	2001	2009	2003	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AF13	R&D- EDUCATION: EDUCATIONAL (ADVANCED DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AF13	EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AF14	EDUCATION (ENGINEERING)	2001	2009	2002	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AF14	R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AF14	EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AF15	EDUCATION (OPERATIONAL)	2001	2009	2001	2022	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
