====================================================
Starting ETL.SP_FPDSdelta_1_Prepare
Start Time: 2026-06-14 22:16:44
Total record to process: 1985358
====================================================
correction_delete_ind	istransferred	n_rows
NULL	0	1984923
D	0	435

correction_delete_ind	istransferred	isoutdatedduplicate	n_rows
NULL	0	0	508477
C	0	0	1476446
D	0	0	435

ctu_n	correction_delete_ind	IsTransferred	IsOutdatedDuplicate	
508477	NULL	0	0	No Contract.FPDS date
8280	C	0	0	ETL.FPDSdelta newer
1468166	C	0	0	Match
1	D	0	0	Contract.FPDS newer
269	D	0	0	ETL.FPDSdelta newer
2	D	0	0	Match
163	D	0	0	No Contract.FPDS date

contract_transaction_unique_key	correction_delete_ind	fd_last_modified_date	fd_isoutdatedduplicate	fddup_last_modified_date	fddup_isoutdatedduplicate
1301_1301_1331L525F13OS0251_P26001_1331L522A13OS0004_0	D	2026-01-14 00:00:00.0000000	0	2026-01-15 00:00:00.0000000	0
9700_4732_W912P523F0043_P00005_47QSWA23D0035_0	D	2026-01-14 00:00:00.0000000	0	2026-01-14 00:00:00.0000000	0
7001_-NONE-_70RWMD23C00000018_P00005_-NONE-_0	D	2026-01-17 00:00:00.0000000	0	2026-01-20 00:00:00.0000000	0
7012_7012_70CDCR26FR0000016_0_70CDCR26D00000018_0	D	2026-01-17 00:00:00.0000000	0	2026-01-22 00:00:00.0000000	0
7012_7012_70CDCR26FR0000018_0_70CDCR26D00000019_0	D	2026-01-17 00:00:00.0000000	0	2026-01-22 00:00:00.0000000	0
7012_7012_70CDCR26FR0000022_0_70CDCR26D00000021_0	D	2026-01-17 00:00:00.0000000	0	2026-01-22 00:00:00.0000000	0
7012_7012_70CDCR26FR0000023_0_70CDCR26D00000020_0	D	2026-01-17 00:00:00.0000000	0	2026-01-22 00:00:00.0000000	0
9700_-NONE-_SPE4A723D60KJ_ARZ998_-NONE-_-NONE-	D	2026-01-23 00:00:00.0000000	0	2026-01-22 00:00:00.0000000	0
3600_-NONE-_36C25220C0186_0_-NONE-_0	D	2026-01-08 00:00:00.0000000	0	2026-02-03 00:00:00.0000000	0
4732_-NONE-_47QTCC26DV027_0_-NONE-_-NONE-	D	2026-01-28 00:00:00.0000000	0	2026-01-28 00:00:00.0000000	0
3600_-NONE-_36C24422P0577_P00006_-NONE-_0	D	2026-02-01 00:00:00.0000000	0	2026-02-04 00:00:00.0000000	0
9700_-NONE-_FA862516C6599_P00166_-NONE-_6	D	2026-02-07 00:00:00.0000000	0	2026-02-02 00:00:00.0000000	0
7001_-NONE-_70RWMD23C00000018_P00005_-NONE-_0	C	2026-01-20 00:00:00.0000000	0	2026-01-17 00:00:00.0000000	0
4732_-NONE-_47QTCC26DV027_0_-NONE-_-NONE-	NULL	2026-01-28 00:00:00.0000000	0	2026-01-28 00:00:00.0000000	0
9700_-NONE-_FA862516C6599_P00166_-NONE-_6	NULL	2026-02-02 00:00:00.0000000	0	2026-02-07 00:00:00.0000000	0
1301_1301_1331L525F13OS0251_P26001_1331L522A13OS0004_0	NULL	2026-01-15 00:00:00.0000000	0	2026-01-14 00:00:00.0000000	0
3600_-NONE-_36C24422P0577_P00006_-NONE-_0	C	2026-02-04 00:00:00.0000000	0	2026-02-01 00:00:00.0000000	0
3600_-NONE-_36C25220C0186_0_-NONE-_0	NULL	2026-02-03 00:00:00.0000000	0	2026-01-08 00:00:00.0000000	0
9700_4732_W912P523F0043_P00005_47QSWA23D0035_0	C	2026-01-14 00:00:00.0000000	0	2026-01-14 00:00:00.0000000	0
7012_7012_70CDCR26FR0000018_0_70CDCR26D00000019_0	C	2026-01-22 00:00:00.0000000	0	2026-01-17 00:00:00.0000000	0
7012_7012_70CDCR26FR0000016_0_70CDCR26D00000018_0	C	2026-01-22 00:00:00.0000000	0	2026-01-17 00:00:00.0000000	0
7012_7012_70CDCR26FR0000022_0_70CDCR26D00000021_0	C	2026-01-22 00:00:00.0000000	0	2026-01-17 00:00:00.0000000	0
9700_-NONE-_SPE4A723D60KJ_ARZ998_-NONE-_-NONE-	NULL	2026-01-22 00:00:00.0000000	0	2026-01-23 00:00:00.0000000	0
7012_7012_70CDCR26FR0000023_0_70CDCR26D00000020_0	C	2026-01-22 00:00:00.0000000	0	2026-01-17 00:00:00.0000000	0
9700_-NONE-_FA875024CB108_P00005_-NONE-_14	NULL	2026-01-13 00:00:00.0000000	0	2026-02-07 00:00:00.0000000	0
9700_9700_N4033925FS040_0_W52P1J20D0049_0	D	2026-01-08 00:00:00.0000000	0	2026-01-25 00:00:00.0000000	0
8000_0300_80NSSC26F0012_0_03310324D0008_0	D	2026-01-10 00:00:00.0000000	0	2026-01-12 00:00:00.0000000	0
1540_4740_15B41826F00000056_0_47PA0723D0019_0	D	2026-01-14 00:00:00.0000000	0	2026-01-20 00:00:00.0000000	0
3600_-NONE-_36C25220C0186_P00003_-NONE-_0	D	2026-01-08 00:00:00.0000000	0	2026-02-03 00:00:00.0000000	0
9700_-NONE-_FA445225P0039_P00001_-NONE-_0	D	2026-01-21 00:00:00.0000000	0	2026-01-30 00:00:00.0000000	0
9700_-NONE-_FA830723CB024_P00010_-NONE-_0	D	2026-01-23 00:00:00.0000000	0	2026-01-23 00:00:00.0000000	0
9700_-NONE-_SPE4A722D5732_ARZ998_-NONE-_-NONE-	D	2026-01-23 00:00:00.0000000	0	2026-01-22 00:00:00.0000000	0
9700_9700_SPE60525FDQE5_P00002_SPE60521D8509_0	D	2026-01-23 00:00:00.0000000	0	2026-01-21 00:00:00.0000000	0
1560_-NONE-_15A00022CAQA00303_P00009_-NONE-_0	D	2026-01-16 00:00:00.0000000	0	2026-01-26 00:00:00.0000000	0
4732_4732_47QMCA23F2JLW_PS0001_47QMCA20D0026_0	D	2026-02-01 00:00:00.0000000	0	2026-02-02 00:00:00.0000000	0
9700_-NONE-_FA875024CB108_P00005_-NONE-_14	D	2026-02-07 00:00:00.0000000	0	2026-01-13 00:00:00.0000000	0
4732_4732_47QMCA23F2JLW_PS0001_47QMCA20D0026_0	C	2026-02-02 00:00:00.0000000	0	2026-02-01 00:00:00.0000000	0
1540_4740_15B41826F00000056_0_47PA0723D0019_0	C	2026-01-20 00:00:00.0000000	0	2026-01-14 00:00:00.0000000	0
9700_-NONE-_FA445225P0039_P00001_-NONE-_0	C	2026-01-30 00:00:00.0000000	0	2026-01-21 00:00:00.0000000	0
1560_-NONE-_15A00022CAQA00303_P00009_-NONE-_0	NULL	2026-01-26 00:00:00.0000000	0	2026-01-16 00:00:00.0000000	0
9700_9700_N4033925FS040_0_W52P1J20D0049_0	NULL	2026-01-25 00:00:00.0000000	0	2026-01-08 00:00:00.0000000	0
3600_-NONE-_36C25220C0186_P00003_-NONE-_0	NULL	2026-02-03 00:00:00.0000000	0	2026-01-08 00:00:00.0000000	0
9700_-NONE-_FA830723CB024_P00010_-NONE-_0	C	2026-01-23 00:00:00.0000000	0	2026-01-23 00:00:00.0000000	0
9700_-NONE-_SPE4A722D5732_ARZ998_-NONE-_-NONE-	NULL	2026-01-22 00:00:00.0000000	0	2026-01-23 00:00:00.0000000	0
8000_0300_80NSSC26F0012_0_03310324D0008_0	C	2026-01-12 00:00:00.0000000	0	2026-01-10 00:00:00.0000000	0
9700_9700_SPE60525FDQE5_P00002_SPE60521D8509_0	NULL	2026-01-21 00:00:00.0000000	0	2026-01-23 00:00:00.0000000	0
3600_-NONE-_36C25220C0186_P00004_-NONE-_0	D	2026-01-08 00:00:00.0000000	0	2026-02-03 00:00:00.0000000	0
3600_-NONE-_36C25220C0186_P00005_-NONE-_0	D	2026-01-08 00:00:00.0000000	0	2026-02-03 00:00:00.0000000	0
1900_-NONE-_19AQMM21C0043_P00036_-NONE-_0	D	2026-01-13 00:00:00.0000000	0	2026-01-13 00:00:00.0000000	0
1900_-NONE-_19PP5026P0137_0_-NONE-_0	D	2026-01-20 00:00:00.0000000	0	2026-01-20 00:00:00.0000000	0
5920_5920_59310521F0015_P00002_B180003_0	D	2026-01-23 00:00:00.0000000	0	2026-02-03 00:00:00.0000000	0
1542_-NONE-_15UC0C25D00000764_P00001_-NONE-_-NONE-	D	2026-01-08 00:00:00.0000000	0	2026-01-29 00:00:00.0000000	0
7012_7012_70CDCR26FR0000013_0_70CDCR26D00000003_0	D	2026-01-14 00:00:00.0000000	0	2026-01-16 00:00:00.0000000	0
8000_8000_80KSC023F0069_P00004_80KSC019D0027_0	D	2026-01-15 00:00:00.0000000	0	2026-01-30 00:00:00.0000000	0
7012_7012_70CDCR26FR0000014_0_70CDCR26D00000017_0	D	2026-01-17 00:00:00.0000000	0	2026-01-22 00:00:00.0000000	0
7012_7012_70CDCR26FR0000019_0_70CDCR26D00000013_0	D	2026-01-17 00:00:00.0000000	0	2026-01-22 00:00:00.0000000	0
