Start SP_AutomatedCSISIDsupportfieldupdates
2026-06-21 17:05:02.763



Warning: Null value is eliminated by an aggregate or other SET operation.
SourceTable	NumberofIDs	contractactiontype	idv_type_code	typeofidc	multipleorsingleawardidc	numberofoffersreceived	MinOfFiscal_Year	MaxOfFiscal_Year
IDVmodification	4300368	74022	2081912	1636913	2134476	NULL	1962	2025
IDVpiid	38280570	412616	1001758	465802	898379	639872	1962	2026



Warning: Null value is eliminated by an aggregate or other SET operation.
CSISidvpiidID	csiscontractid	CSIStransactionID
1006708	80905124	106153529





Warning: Null value is eliminated by an aggregate or other SET operation.
FYearOfSignedDate	MaxFYearOfSignedDate	MaxOfNumberOfYears	IsNullContractingAgencyID	IsNullContractingOfficeID	IsNullMajorCommandID	IsNullFundingAgencyID	IsNullFundingOfficeID	IsNullTypeOfContractPricing	IsNullsystemequipmentcode	IsNullstatutoryexceptiontofairopportunity	IsNullextentcompeted
1981	2024	42	235	238	1778	1778	1778	12	1776	1775	1
1984	2025	40	258	263	1837	1837	1837	11	1149	1831	1
1979	2026	46	63	70	899	899	899	1	891	890	6
2022	2026	3	6877	14944	5401317	5401317	5401317	32	4634	7304	69
2000	2026	25	2372	13439	434017	434017	434017	4757	10276	1717	4755
2020	2026	5	7814	19226	5065939	5065939	5065939	39	3134	1977	67
1974	2008	33	0	1	3	3	3	0	1	1	1
2006	2026	19	10438	48473	3083241	3083241	3083241	14740	3721	996	2035
1989	2023	33	32	77	1419	1419	1419	42	783	1277	54
2009	2026	16	16924	48326	2488183	2488183	2488183	15042	55	1040	655
1990	2025	34	42	67	1573	1573	1573	28	1058	1461	39
2001	2026	24	2312	14571	441593	441593	441593	3654	9627	596	2753
1996	2026	29	356	344	6153	6153	6153	90	2873	5467	141
2002	2026	23	3458	26883	567257	567257	567257	4765	18819	717	3263
2016	2026	9	10961	84684	3690256	3690256	3690256	1130	6875	5767	720
1999	2026	26	909	3628	75048	75048	75048	8657	11377	62453	1660
2025	2026	0	1574	2903	5031187	5031187	5031187	21	1498622	4113222	7478
1982	2019	36	286	288	1825	1825	1825	38	1824	1820	4
2005	2026	20	11528	51453	2251888	2251888	2251888	11098	2414	514	4863
1994	2026	31	115	94	2233	2233	2233	10	1301	1942	33
2003	2026	22	4956	52030	852754	852754	852754	5331	44915	967	3768
2017	2026	8	10891	33910	3678156	3678156	3678156	678	14082	14440	792
1995	2023	27	216	148	2713	2713	2713	10	1287	2299	31
1998	2025	26	767	2182	47920	47920	47920	6108	9088	42299	856
2004	2026	21	7737	46867	1531062	1531062	1531062	6623	2417	507	2723
2010	2026	15	20121	54824	2431319	2431319	2431319	3160	5044	3318	231
1985	2025	39	283	294	1622	1622	1622	16	960	1608	10
1993	2025	31	94	95	1979	1979	1979	22	1287	1796	45
1991	2014	22	40	48	1786	1786	1786	18	1114	1650	35
1980	2025	44	51	71	830	830	830	0	805	805	4
2011	2026	14	9569	59215	2206846	2206846	2206846	1627	3552	2222	193
2023	2026	2	7947	13076	5457927	5457927	5457927	40	355441	1697094	2087
2018	2026	7	12352	29729	4454403	4454403	4454403	570	1448	1392	48
2015	2026	10	10383	117190	3273848	3273848	3273848	815	274456	276298	318
2024	2026	1	6400	9714	5437743	5437743	5437743	26	1622153	4465582	7819
1967	2018	50	0	0	1	1	1	0	0	0	0
1978	2025	46	0	1	1	1	1	0	0	0	0
2013	2026	12	8498	68718	1401117	1401117	1401117	769	6900	9594	179
1970	2023	52	0	0	2	2	2	1	0	0	0
2008	2026	17	14159	44037	3580829	3580829	3580829	21255	707	2130	426
2019	2026	6	12494	23853	5369966	5369966	5369966	165	999	1280	64
2014	2026	11	9100	82449	1447817	1447817	1447817	788	2458	1852	206
1997	2026	28	937	2321	27836	27836	27836	3236	6318	23163	940
NULL	NULL	NULL	24284	83299	752468	752468	752468	42427	38020	752468	62419
1992	2025	32	87	75	2213	2213	2213	26	1410	2017	46
2026	2026	-1	34	123	633208	633208	633208	2	304851	467420	1185
2012	2026	13	9126	67718	1964265	1964265	1964265	1342	2817	1847	138
1987	2026	38	233	246	2331	2331	2331	40	709	2253	23
2007	2026	18	11771	43792	3269842	3269842	3269842	17368	1584	1768	354
2021	2026	4	6545	15755	5219884	5219884	5219884	31	21340	31207	97
1973	1973	-1	0	0	1	1	1	0	1	1	0
1962	2023	60	0	1	1	1	1	0	0	0	0
1988	2021	32	271	287	1649	1649	1649	46	906	1600	64
1977	2025	47	0	0	1	1	1	0	0	0	0
1986	2025	38	298	308	1572	1572	1572	15	823	1547	35
1983	2019	35	194	195	1619	1619	1619	11	1618	1616	2
1966	1966	-1	0	0	3	3	3	0	3	3	0



Warning: Null value is eliminated by an aggregate or other SET operation.


Warning: Null value is eliminated by an aggregate or other SET operation.


Warning: Null value is eliminated by an aggregate or other SET operation.

Msg 10054, Level 20, State 0, Line 143
A transport-level error has occurred when receiving results from the server. (provider: TCP Provider, error: 0 - An existing connection was forcibly closed by the remote host.)
