SELECT count(*) as TotalRows,
sum(iif(nullif([gfe_gfp_name],'') is null,1,0)) as [gfe_gfp_name],
sum(iif(nullif([research_name],'') is null,1,0)) as [research_name],
sum(iif([last_modified_date] is null,1,0)) as [last_modified_date],
sum(iif(nullif([piid],'') is null,1,0)) as [piid],
sum(iif(nullif([modnumber],'') is null,1,0)) as [modnumber],
sum(iif([transactionnumber] is null,1,0)) as [transactionnumber],
sum(iif(nullif([idvagencyid],'') is null,1,0)) as [idvagencyid],
sum(iif(nullif([parent_award_agency_name],'') is null,1,0)) as [parent_award_agency_name],
sum(iif(nullif([idvpiid],'') is null,1,0)) as [idvpiid],
sum(iif(nullif([idvmodificationnumber],'') is null,1,0)) as [idvmodificationnumber],
sum(iif([obligatedamount] is null,1,0)) as [obligatedamount],
sum(iif([baseandexercisedoptionsvalue] is null,1,0)) as [baseandexercisedoptionsvalue],
sum(iif([baseandalloptionsvalue] is null,1,0)) as [baseandalloptionsvalue],
sum(iif([signeddate] is null,1,0)) as [signeddate],
sum(iif([effectivedate] is null,1,0)) as [effectivedate],
sum(iif([currentcompletiondate] is null,1,0)) as [currentcompletiondate],
sum(iif([ultimatecompletiondate] is null,1,0)) as [ultimatecompletiondate],
sum(iif([lastdatetoorder] is null,1,0)) as [lastdatetoorder],
sum(iif(nullif([agencyid],'') is null,1,0)) as [agencyid],
sum(iif(nullif([awarding_agency_name],'') is null,1,0)) as [awarding_agency_name],
sum(iif(nullif([contractingofficeagencyid],'') is null,1,0)) as [contractingofficeagencyid],
sum(iif(nullif([awarding_sub_agency_name],'') is null,1,0)) as [awarding_sub_agency_name],
sum(iif(nullif([contractingofficeid],'') is null,1,0)) as [contractingofficeid],
sum(iif(nullif([awarding_office_name],'') is null,1,0)) as [awarding_office_name],
sum(iif(nullif([maj_fund_agency_cat],'') is null,1,0)) as [maj_fund_agency_cat],
sum(iif(nullif([funding_agency_name],'') is null,1,0)) as [funding_agency_name],
sum(iif(nullif([fundingrequestingagencyid],'') is null,1,0)) as [fundingrequestingagencyid],
sum(iif(nullif([funding_sub_agency_name],'') is null,1,0)) as [funding_sub_agency_name],
sum(iif(nullif([fundingrequestingofficeid],'') is null,1,0)) as [fundingrequestingofficeid],
sum(iif(nullif([funding_office_name],'') is null,1,0)) as [funding_office_name],
sum(iif(nullif([fundedbyforeignentity],'') is null,1,0)) as [fundedbyforeignentity],
sum(iif(nullif([ccrexception],'') is null,1,0)) as [ccrexception],
sum(iif(nullif([dunsnumber],'') is null,1,0)) as [dunsnumber],
sum(iif([vendorname] is null,1,0)) as [vendorname],
sum(iif([vendordoingasbusinessname] is null,1,0)) as [vendordoingasbusinessname],
sum(iif(nullif([mod_parent],'') is null,1,0)) as [mod_parent],
sum(iif(nullif([parentdunsnumber],'') is null,1,0)) as [parentdunsnumber],
sum(iif([vendorcountrycode] is null,1,0)) as [vendorcountrycode],
sum(iif(nullif([recipient_country_name],'') is null,1,0)) as [recipient_country_name],
sum(iif(nullif([streetaddress],'') is null,1,0)) as [streetaddress],
sum(iif(nullif([streetaddress2],'') is null,1,0)) as [streetaddress2],
sum(iif(nullif([streetaddress3],'') is null,1,0)) as [streetaddress3],
sum(iif(nullif([city],'') is null,1,0)) as [city],
sum(iif(nullif([vendor_state_code],'') is null,1,0)) as [vendor_state_code],
sum(iif(nullif([recipient_state_name],'') is null,1,0)) as [recipient_state_name],
sum(iif(nullif([zipcode],'') is null,1,0)) as [zipcode],
sum(iif(nullif([vendor_cd],'') is null,1,0)) as [vendor_cd],
sum(iif(nullif([phoneno],'') is null,1,0)) as [phoneno],
sum(iif(nullif([faxno],'') is null,1,0)) as [faxno],
sum(iif(nullif([placeofperformancecountrycode],'') is null,1,0)) as [placeofperformancecountrycode],
